ORDER_NO,ORDER_DATE,CUSTOMER_NO,PRODUCT_NUMBER,ORDER_QUANTITY,SALES_PRICE,SHIP_DATE,SHIP_QUANTITY,INVOICE_NO,INVOICE_DATE,SUBTOTAL,TAX,INVOICE_TOTAL,DUE_DATE
37704,11/25/2020,100316,29161378,73,19.38,12/05/2020,73,566018,12/05/2020,1414.74,116.72,1531.46,01/09/2021
37705,11/27/2020,100170,29166218,49,23.9,12/07/2020,49,566019,12/07/2020,1171.1,96.62,1267.72,01/10/2021
37706,11/28/2020,100181,97420461,83,83.15,12/08/2020,83,566020,12/08/2020,6901.45,569.369625,7470.819625,01/07/2021
37707,11/29/2020,100152,12863740,31,6.71,12/09/2020,31,566021,12/09/2020,208.01,17.160825,225.170825,01/08/2021
37708,11/30/2020,100140,97931868,66,104.39,12/10/2020,66,566022,12/10/2020,6889.74,568.40355,7458.14355,01/09/2021
37709,12/01/2020,100105,72721370,54,26.51,12/11/2020,54,566023,12/11/2020,1431.54,118.10205,1549.64205,01/10/2021
37710,12/01/2020,100328,97935885,67,5.52,12/11/2020,67,566024,12/11/2020,369.84,30.5118,400.3518,01/10/2021
37711,12/01/2020,100143,15766978,10,40.67,12/11/2020,10,566025,12/11/2020,406.7,33.55275,440.25275,01/10/2021
37712,12/04/2020,100307,72721382,22,15.89,12/14/2020,22,566026,12/14/2020,349.58,28.84035,378.42035,01/13/2021
37713,12/04/2020,100115,72721407,47,17.68,12/14/2020,47,566027,12/14/2020,830.96,68.5542,899.5142,01/13/2021
37714,12/06/2020,100134,36799431,91,32.73,12/16/2020,91,566028,12/16/2020,2978.43,245.720475,3224.150475,01/15/2021
37715,12/07/2020,100103,72721431,35,14.12,12/17/2020,35,566029,12/17/2020,494.2,40.7715,534.9715,01/16/2021
37716,12/08/2020,100106,36799613,16,6.18,12/18/2020,16,566030,12/18/2020,98.88,8.1576,107.0376,01/17/2021
37717,12/08/2020,100322,72723500,47,58.37,12/18/2020,47,566031,12/18/2020,2743.39,226.329675,2969.719675,01/17/2021
37718,12/10/2020,100242,36801282,30,45.98,12/20/2020,30,566032,12/20/2020,1379.4,113.8005,1493.2005,01/19/2021
37719,12/11/2020,100345,72723524,43,79.46,12/21/2020,43,566033,12/21/2020,3416.78,281.88435,3698.66435,01/20/2021
37720,12/11/2020,100106,29215223,30,26.46,12/21/2020,30,566034,12/21/2020,793.8,65.4885,859.2885,01/20/2021
37721,12/11/2020,100238,36801319,46,106.16,12/21/2020,46,566035,12/21/2020,4883.36,402.8772,5286.2372,01/20/2021
37722,12/11/2020,100140,29268003,71,58.32,12/21/2020,71,566036,12/21/2020,4140.72,341.6094,4482.3294,01/20/2021
37723,12/15/2020,100282,37430652,77,13.79,12/25/2020,77,566037,12/25/2020,1061.83,87.600975,1149.430975,01/24/2021
37724,12/16/2020,100303,29276267,94,12.35,12/26/2020,94,566038,12/26/2020,1160.9,95.77425,1256.67425,01/25/2021
37725,12/17/2020,100210,36336691,89,12.35,12/27/2020,89,566039,12/27/2020,1099.15,90.679875,1189.829875,01/26/2021
37726,12/18/2020,100286,41448554,30,26.51,12/28/2020,30,566040,12/28/2020,795.3,65.61225,860.91225,01/27/2021
37727,12/18/2020,100114,36665787,60,97.26,12/28/2020,60,566041,12/28/2020,5835.6,481.437,6317.037,01/27/2021
37728,12/20/2020,100338,48666290,89,141.56,12/30/2020,89,566042,12/30/2020,12598.84,1039.4043,13638.2443,01/29/2021
37729,12/21/2020,100311,36666513,67,30.05,12/31/2020,67,566043,12/31/2020,2013.35,166.101375,2179.451375,01/30/2021
37730,12/22/2020,100235,48672231,17,24.74,01/01/2021,17,566044,01/01/2021,420.58,34.69785,455.27785,01/31/2021
37731,12/22/2020,100240,48672267,5,19.43,01/01/2021,5,566045,01/01/2021,97.15,8.014875,105.164875,01/31/2021
37732,12/22/2020,100256,36667045,93,22.97,01/01/2021,93,566046,01/01/2021,2136.21,176.237325,2312.447325,01/31/2021
37733,12/22/2020,100334,36667130,99,8.3,01/01/2021,99,566047,01/01/2021,821.7,67.79025,889.49025,01/31/2021
37734,12/26/2020,100317,48673380,34,12.37,01/05/2021,34,566048,01/05/2021,420.58,34.69785,455.27785,02/04/2021
37735,12/27/2020,100340,48673525,97,19.43,01/06/2021,97,566049,01/06/2021,1884.71,155.488575,2040.198575,02/05/2021
37736,01/09/2021,100109,10971023,80,31.82,01/19/2021,80,566052,01/19/2021,2545.6,210.01,2755.61,02/18/2021
37737,01/12/2021,100232,10951445,96,30.05,01/22/2021,96,566053,01/22/2021,2884.8,238,3122.8,02/21/2021
37738,01/25/2021,100184,21794781,25,9.01,02/04/2021,25,566054,02/04/2021,225.25,18.99,244.24,03/06/2021
37739,02/01/2021,100139,10960824,2,460.18,02/11/2021,1,566055,02/11/2021,460.18,37.96,498.14,03/12/2021
37740,02/01/2021,100235,12244038,77,24.76,02/11/2021,77,566056,02/11/2021,1906.52,157.29,2063.81,03/12/2021
37741,02/04/2021,100182,10950627,77,17.68,02/14/2021,77,566057,02/14/2021,1361.36,112.31,1473.67,03/15/2021
37742,02/05/2021,100276,29201066,27,24.69,02/15/2021,27,566058,02/15/2021,666.63,55,721.63,03/16/2021
37743,02/08/2021,100167,10951450,22,17.68,02/18/2021,22,566059,02/18/2021,388.96,32.09,421.05,03/19/2021
37744,03/01/2021,100144,48666290,10,141.56,03/11/2021,10,566060,03/11/2021,1415.6,116.79,1532.39,04/10/2021
37745,03/02/2021,100251,63174759,77,0.16,03/12/2021,77,566061,03/12/2021,12.32,1.02,13.34,04/11/2021
37746,03/02/2021,100198,48672231,93,24.74,03/12/2021,93,566062,03/12/2021,2300.82,189.82,2490.64,04/11/2021
37748,03/03/2021,100300,41448554,48,26.51,03/13/2021,48,566063,03/13/2021,1272.48,104.98,1377.46,04/12/2021
37747,03/03/2021,100170,48672267,54,19.43,03/13/2021,54,566064,03/13/2021,1049.22,86.56,1135.78,04/12/2021
37749,03/04/2021,100233,10950991,96,4.41,03/14/2021,96,566065,03/14/2021,423.36,34.93,458.29,04/13/2021
37751,03/04/2021,100330,48673380,51,12.37,03/14/2021,51,566066,03/14/2021,630.87,52.05,682.92,04/13/2021
37750,03/04/2021,100298,48680955,40,159.26,03/14/2021,40,566067,03/14/2021,6370.4,525.56,6895.96,04/13/2021
37753,03/05/2021,100105,12262648,100,7.06,03/15/2021,100,566068,03/15/2021,706,58.24,764.25,04/14/2021
37754,03/05/2021,100127,48673525,80,19.43,03/15/2021,80,566069,03/15/2021,1554.4,128.24,1682.64,04/14/2021
37752,03/05/2021,100255,48673525,65,19.43,03/15/2021,65,566070,03/15/2021,1262.95,104.19,1367.14,04/14/2021
37755,03/05/2021,100128,10951491,83,8.83,03/15/2021,83,566071,03/15/2021,732.89,60.46,793.35,04/14/2021
37756,03/06/2021,100245,48680955,43,159.26,03/16/2021,43,566072,03/16/2021,6848.18,564.97,7413.15,04/15/2021
37758,03/06/2021,100233,36801282,14,45.98,03/16/2021,14,566073,03/16/2021,643.72,53.11,696.83,04/15/2021
37757,03/06/2021,100195,12263423,4,70.76,03/16/2021,4,566074,03/16/2021,283.04,23.35,306.39,04/15/2021
37759,03/07/2021,100240,11348398,85,7.04,03/17/2021,85,566075,03/17/2021,598.4,49.37,647.77,04/16/2021
37761,03/07/2021,100250,48690744,76,17.15,03/17/2021,76,566076,03/17/2021,1303.4,107.53,1410.93,04/16/2021
37760,03/07/2021,100235,12287732,23,22.99,03/17/2021,23,566077,03/17/2021,528.77,43.62,572.39,04/16/2021
37764,03/08/2021,100144,12287744,59,24.76,03/18/2021,59,566078,03/18/2021,1460.84,120.52,1581.36,04/17/2021
37762,03/08/2021,100243,36689236,6,4.58,03/18/2021,6,566079,03/18/2021,27.48,2.27,29.75,04/17/2021
37763,03/08/2021,100130,48691203,35,70.76,03/18/2021,35,566080,03/18/2021,2476.6,204.32,2680.92,04/17/2021
37765,03/08/2021,100144,12224279,97,14.14,03/18/2021,97,566081,03/18/2021,1371.58,113.16,1484.74,04/17/2021
37770,03/09/2021,100123,12287756,67,19.45,03/19/2021,67,566082,03/19/2021,1303.15,107.51,1410.66,04/18/2021
37767,03/09/2021,100226,48691470,47,17.68,03/19/2021,47,566083,03/19/2021,830.96,68.55,899.51,04/18/2021
37768,03/09/2021,100143,12224436,65,115.01,03/08/2021,65,566084,03/19/2021,7475.65,616.74,8092.39,04/18/2021
37769,03/09/2021,100190,63506166,83,6.71,03/19/2021,83,566085,03/19/2021,556.93,45.95,602.88,04/18/2021
37766,03/09/2021,100286,72862650,98,242.47,03/19/2021,98,566086,03/19/2021,23762.06,1960.37,25722.43,04/18/2021
37773,03/10/2021,100344,12350736,63,10.25,03/20/2021,63,566087,03/20/2021,645.75,53.27,699.02,04/19/2021
37772,03/10/2021,100307,48691990,44,45.98,03/20/2021,44,566088,03/20/2021,2023.12,166.91,2190.03,04/19/2021
37771,03/10/2021,100154,63529846,65,8.5,03/20/2021,65,566089,03/20/2021,552.5,45.58,598.08,04/19/2021
37774,03/11/2021,100249,63561488,95,0.07,03/21/2021,95,566090,03/21/2021,6.65,0.55,7.2,04/20/2021
37775,03/11/2021,100225,12374210,81,28.3,03/21/2021,81,566091,03/21/2021,2292.3,189.11,2481.41,04/20/2021
37776,03/11/2021,100289,48692522,7,38.9,03/21/2021,7,566092,03/21/2021,272.3,22.46,294.76,04/20/2021
37779,03/12/2021,100122,12476177,82,35.38,03/22/2021,82,566093,03/22/2021,2901.16,239.35,3140.51,04/21/2021
37778,03/12/2021,100140,48694301,56,132.71,03/22/2021,56,566094,03/22/2021,7431.76,613.12,8044.88,04/21/2021
37780,03/12/2021,100182,63791569,17,88.5,03/22/2021,17,566095,03/22/2021,1504.5,124.12,1628.62,04/21/2021
37777,03/12/2021,100140,72735951,83,35.36,03/22/2021,83,566096,03/22/2021,2934.88,242.13,3177.01,04/21/2021
37783,03/13/2021,100260,72842370,99,30.05,03/23/2021,99,566097,03/23/2021,2974.95,245.43,3220.38,04/22/2021
37782,03/13/2021,100329,48698911,96,33.59,03/23/2021,96,566098,03/23/2021,3224.64,266.03,3490.67,04/22/2021
37781,03/13/2021,100274,12477278,19,97.33,03/23/2021,19,566099,03/23/2021,1849.27,152.56,2001.83,04/22/2021
37786,03/14/2021,100231,12477508,83,7.06,03/24/2021,83,566100,03/24/2021,585.98,48.34,634.32,04/23/2021
37785,03/14/2021,100140,48727092,67,884.96,03/24/2021,67,566101,03/24/2021,59292.32,4891.62,64183.94,04/23/2021
37784,03/14/2021,100216,72862650,5,242.47,03/24/2021,95,566102,03/24/2021,23034.65,1900.36,24935.01,04/23/2021
37787,03/15/2021,100111,48727128,95,35.36,03/25/2021,95,566103,03/25/2021,3359.2,277.13,3636.33,04/24/2021
37788,03/15/2021,100254,72868010,74,22.99,03/25/2021,74,566104,03/25/2021,1701.26,140.35,1841.61,04/24/2021
37789,03/16/2021,100136,48734025,63,84.92,03/26/2021,63,566105,03/26/2021,5349.96,441.37,5791.33,04/25/2021
37790,03/16/2021,100274,72868022,61,22.99,03/26/2021,61,566106,03/26/2021,1402.39,115.7,1518.09,04/25/2021
37792,03/17/2021,100288,72868228,68,8.83,03/27/2021,68,566107,03/27/2021,600.44,49.54,649.98,04/26/2021
37791,03/17/2021,100272,48735356,20,92,03/27/2021,20,566108,03/27/2021,1840,151.8,1991.8,04/26/2021
37793,03/18/2021,100186,63167463,28,17.7,03/28/2021,28,566109,03/28/2021,495.6,40.89,536.49,04/27/2021
37794,03/18/2021,100181,84826236,30,17.68,03/28/2021,30,566110,03/28/2021,530.4,43.76,574.16,04/27/2021
37796,03/19/2021,100129,84826260,38,17.68,03/29/2021,38,566111,03/29/2021,671.84,55.43,727.27,04/28/2021
37795,03/19/2021,100302,63167475,13,21.24,03/29/2021,10,566112,03/29/2021,212.4,17.52,229.92,04/28/2021
37797,03/20/2021,100208,84826296,48,17.68,03/30/2021,48,566113,03/30/2021,848.64,70.01,918.65,04/29/2021
37798,03/21/2021,100174,84826320,75,17.68,03/31/2021,75,566114,03/31/2021,1326,109.4,1435.4,04/30/2021
37799,03/22/2021,100232,84826635,40,17.68,04/01/2021,40,566115,04/01/2021,707.2,58.34,765.54,05/01/2021
37800,03/23/2021,100113,84826659,41,17.68,04/02/2021,41,566116,04/02/2021,724.88,59.8,784.68,05/02/2021
37801,03/24/2021,100255,96921990,35,0.51,04/03/2021,35,566117,04/03/2021,17.85,1.47,19.32,05/03/2021
37802,03/25/2021,100225,96922232,42,0.89,04/04/2021,42,566118,04/04/2021,37.38,3.08,40.46,05/04/2021
37803,03/26/2021,100137,96924168,36,42.44,04/05/2021,36,566119,04/05/2021,1527.84,126.05,1653.89,05/05/2021
37804,03/27/2021,100188,96924180,42,15.91,04/06/2021,42,566120,04/06/2021,668.22,55.13,723.35,05/06/2021
37805,03/28/2021,100222,96924531,28,0.78,04/07/2021,28,566121,04/07/2021,21.84,1.8,23.64,05/07/2021
37806,03/29/2021,100213,96928524,48,5.29,04/08/2021,48,566122,04/08/2021,253.92,20.95,274.87,05/08/2021
37808,03/30/2021,100287,96949360,3,5.52,04/09/2021,3,566123,04/09/2021,16.56,1.37,17.93,05/09/2021
37807,03/30/2021,100167,63506130,82,10.07,04/09/2021,82,566124,04/09/2021,825.74,68.12,893.86,05/09/2021
37809,03/31/2021,100283,96949965,77,10.6,04/10/2021,77,566125,04/10/2021,816.2,67.34,883.54,05/10/2021
37810,04/01/2021,100123,96950001,7,5.35,04/11/2021,7,566126,04/11/2021,37.45,3.09,40.54,05/11/2021
37811,04/02/2021,100139,96950667,1,5.52,04/12/2021,1,566127,04/12/2021,5.52,0.46,5.98,05/12/2021
37812,04/03/2021,100321,96952470,14,4.94,04/13/2021,14,566128,04/13/2021,69.16,5.71,74.87,05/13/2021
37813,04/04/2021,100249,96952530,87,0.87,04/14/2021,87,566129,04/14/2021,75.69,6.24,81.93,05/14/2021
37814,04/05/2021,100308,96952833,67,0.69,04/15/2021,67,566130,04/15/2021,46.23,3.81,50.04,05/15/2021
37816,04/05/2021,100221,36689212,94,2.99,04/15/2021,94,566131,04/15/2021,281.06,23.19,304.25,05/15/2021
37815,04/05/2021,100202,63791944,0,88.5,04/15/2021,0,566132,04/15/2021,0,0,0,05/15/2021
37817,04/06/2021,100244,97326880,87,92,04/16/2021,87,566133,04/16/2021,8004,660.33,8664.33,05/16/2021
37818,04/07/2021,100181,97420461,83,83.15,04/17/2021,83,566134,04/17/2021,6901.45,569.37,7470.82,05/17/2021
37819,04/08/2021,100152,12863740,31,6.71,04/18/2021,31,566135,04/18/2021,208.01,17.16,225.17,05/18/2021
37820,04/08/2021,100140,97931868,66,104.39,04/18/2021,66,566136,04/18/2021,6889.74,568.4,7458.14,05/18/2021
37823,04/09/2021,100143,15766978,10,40.67,04/19/2021,10,566137,04/19/2021,406.7,33.55,440.25,05/19/2021
37821,04/09/2021,100105,72721370,54,26.51,04/19/2021,54,566138,04/19/2021,1431.54,118.1,1549.64,05/19/2021
37822,04/09/2021,100328,97935885,67,5.52,04/19/2021,67,566139,04/19/2021,369.84,30.51,400.35,05/19/2021
37824,04/10/2021,100307,72721382,22,15.89,04/08/2021,22,566140,04/20/2021,349.58,28.84,378.42,05/20/2021
37825,04/11/2021,100115,72721407,47,17.68,04/21/2021,47,566141,04/21/2021,830.96,68.55,899.51,05/21/2021
37826,04/12/2021,100134,36799431,91,32.73,04/22/2021,91,566142,04/22/2021,2978.43,245.72,3224.15,05/22/2021
37827,04/12/2021,100103,72721431,35,14.12,04/22/2021,35,566143,04/22/2021,494.2,40.77,534.97,05/22/2021
37828,04/13/2021,100106,36799613,16,6.18,04/23/2021,16,566144,04/23/2021,98.88,8.16,107.04,05/23/2021
37829,04/13/2021,100322,72723500,47,58.37,04/23/2021,47,566145,04/23/2021,2743.39,226.33,2969.72,05/23/2021
37832,04/14/2021,100106,29215223,30,26.46,04/24/2021,30,566146,04/24/2021,793.8,65.49,859.29,05/24/2021
37831,04/14/2021,100345,72723524,43,79.46,04/24/2021,43,566147,04/24/2021,3416.78,281.88,3698.66,05/24/2021
37830,04/14/2021,100242,36801282,30,45.98,04/24/2021,30,566148,04/24/2021,1379.4,113.8,1493.2,05/24/2021
37833,04/15/2021,100238,36801319,46,106.16,04/25/2021,46,566149,04/25/2021,4883.36,402.88,5286.24,05/25/2021
37834,04/15/2021,100140,29268003,71,58.32,04/25/2021,71,566150,04/25/2021,4140.72,341.61,4482.33,05/25/2021
37836,04/16/2021,100303,29276267,94,12.35,04/26/2021,94,566151,04/26/2021,1160.9,95.77,1256.67,05/26/2021
37835,04/16/2021,100282,37430652,77,13.79,04/26/2021,77,566152,04/26/2021,1061.83,87.6,1149.43,05/26/2021
37837,04/17/2021,100210,36336691,89,12.35,04/27/2021,89,566153,04/27/2021,1099.15,90.68,1189.83,05/27/2021
37838,04/17/2021,100286,41448554,30,26.51,04/27/2021,30,566154,04/27/2021,795.3,65.61,860.91,05/27/2021
37840,04/18/2021,100338,48666290,89,141.56,04/28/2021,89,566155,04/28/2021,12598.84,1039.4,13638.24,05/28/2021
37839,04/18/2021,100114,36665787,60,97.26,04/28/2021,60,566156,04/28/2021,5835.6,481.44,6317.04,05/28/2021
37841,04/19/2021,100311,36666513,67,30.05,04/29/2021,67,566157,04/29/2021,2013.35,166.1,2179.45,05/29/2021
37842,04/19/2021,100235,48672231,17,24.74,04/29/2021,17,566158,04/29/2021,420.58,34.7,455.28,05/29/2021
37844,04/20/2021,100256,36667045,93,22.97,04/30/2021,93,566159,04/30/2021,2136.21,176.24,2312.45,05/30/2021
37843,04/20/2021,100240,48672267,5,19.43,04/30/2021,5,566160,04/30/2021,97.15,8.01,105.16,05/30/2021
37845,04/21/2021,100334,36667130,99,8.3,05/01/2021,99,566161,05/01/2021,821.7,67.79,889.49,05/31/2021
37846,04/21/2021,100317,48673380,34,12.37,05/01/2021,34,566162,05/01/2021,420.58,34.7,455.28,05/31/2021
37848,04/22/2021,100341,36674341,22,30.05,05/02/2021,22,566163,05/02/2021,661.1,54.54,715.64,06/01/2021
37847,04/22/2021,100340,48673525,97,19.43,05/02/2021,97,566164,05/02/2021,1884.71,155.49,2040.2,06/01/2021
37850,04/23/2021,100330,36689212,71,2.99,05/03/2021,71,566165,05/03/2021,212.29,17.51,229.8,06/02/2021
37849,04/23/2021,100140,48680955,32,159.26,05/03/2021,32,566166,05/03/2021,5096.32,420.45,5516.77,06/02/2021
37851,04/24/2021,100312,36689236,74,4.58,05/04/2021,74,566167,05/04/2021,338.92,27.96,366.88,06/03/2021
37852,04/24/2021,100146,48690744,30,17.15,05/04/2021,30,566168,05/04/2021,514.5,42.45,556.95,06/03/2021
37854,04/25/2021,100324,36689987,60,4.05,05/05/2021,60,566169,05/05/2021,243,20.05,263.05,06/04/2021
37853,04/25/2021,100204,48691203,6,70.76,05/05/2021,6,566170,05/05/2021,424.56,35.03,459.59,06/04/2021
37855,04/26/2021,100127,36693012,76,8.3,05/06/2021,76,566171,05/06/2021,630.8,52.04,682.84,06/05/2021
37856,04/27/2021,100120,36693108,46,26.51,05/07/2021,46,566172,05/07/2021,1219.46,100.61,1320.07,06/06/2021
37857,04/28/2021,100163,36799189,82,28.28,05/08/2021,82,566173,05/08/2021,2318.96,191.31,2510.27,06/07/2021
37858,05/04/2021,100119,29175716,23,11.49,05/14/2021,23,566174,05/14/2021,264.27,21.8,286.07,06/13/2021
37859,05/04/2021,100311,48666290,67,141.56,05/14/2021,67,566175,05/14/2021,9484.52,782.47,10266.99,06/13/2021
37861,05/05/2021,100160,96921990,94,0.51,05/15/2021,94,566176,05/15/2021,47.94,3.96,51.9,06/14/2021
37860,05/05/2021,100244,29186812,9,6.55,05/15/2021,9,566177,05/15/2021,58.95,4.86,63.81,06/14/2021
37862,05/06/2021,100244,96922232,16,0.89,05/16/2021,16,566178,05/16/2021,14.24,1.17,15.41,06/15/2021
37863,05/06/2021,100176,29195742,51,2.11,05/16/2021,51,566179,05/16/2021,107.61,8.88,116.49,06/15/2021
37864,05/07/2021,100319,36674341,24,30.05,05/17/2021,24,566180,05/17/2021,721.2,59.5,780.7,06/16/2021
37865,05/07/2021,100254,96924168,41,42.44,05/17/2021,41,566181,05/17/2021,1740.04,143.55,1883.59,06/16/2021
37866,05/07/2021,100144,29195863,65,5.22,05/17/2021,65,566182,05/17/2021,339.3,27.99,367.29,06/16/2021
37868,05/08/2021,100172,29196008,68,6.81,05/18/2021,68,566183,05/18/2021,463.08,38.2,501.28,06/17/2021
37867,05/08/2021,100108,96924180,79,15.91,05/18/2021,79,566184,05/18/2021,1256.89,103.69,1360.58,06/17/2021
37869,05/09/2021,100226,96924531,40,0.78,05/19/2021,40,566185,05/19/2021,31.2,2.57,33.77,06/18/2021
37870,05/10/2021,100200,96928524,70,5.29,05/20/2021,70,566186,05/20/2021,370.3,30.55,400.85,06/19/2021
37872,05/11/2021,100122,10951445,31,30.05,05/21/2021,31,566187,05/21/2021,931.55,63.8900000000001,995.44,06/20/2021
37871,05/11/2021,100110,96949360,97,5.52,05/21/2021,97,566188,05/21/2021,535.44,44.17,579.61,06/20/2021
37873,05/12/2021,100321,96949965,25,10.6,05/22/2021,25,566189,05/22/2021,265,21.86,286.86,06/21/2021
37874,05/13/2021,100182,96950001,27,5.35,05/23/2021,27,566190,05/23/2021,144.45,11.92,156.37,06/22/2021
37875,05/14/2021,100336,96950667,21,5.52,05/24/2021,21,566191,05/24/2021,115.92,9.56,125.48,06/23/2021
37876,05/15/2021,100160,96952470,17,4.94,05/25/2021,17,566192,05/25/2021,83.98,6.93,90.91,06/24/2021
37877,05/16/2021,100345,96952530,1,0.87,05/26/2021,1,566193,05/26/2021,0.87,0.07,0.94,06/25/2021
37878,05/17/2021,100349,96952833,31,0.69,05/27/2021,31,566194,05/27/2021,21.39,1.76,23.15,06/26/2021
37879,05/18/2021,100244,97326880,4,92,05/28/2021,4,566195,05/28/2021,368,30.36,398.36,06/27/2021
37880,05/19/2021,100303,12263423,3,70.76,05/29/2021,3,566196,05/29/2021,212.28,17.51,229.79,06/28/2021
37881,05/20/2021,100144,12287732,12,22.99,05/30/2021,12,566197,05/30/2021,275.88,22.76,298.64,06/29/2021
37882,05/21/2021,100331,12287744,29,24.76,05/31/2021,29,566198,05/31/2021,718.04,59.24,777.28,06/30/2021
37883,05/22/2021,100271,12287756,38,19.45,06/01/2021,38,566199,06/01/2021,739.1,60.98,800.08,07/01/2021
37885,05/23/2021,100165,12350736,83,10.25,06/02/2021,83,566200,06/02/2021,850.75,70.19,920.94,07/02/2021
37884,05/23/2021,100175,97936188,9,5.52,06/02/2021,9,566201,06/02/2021,49.68,4.1,53.78,07/02/2021
37887,05/24/2021,100146,12374210,72,28.3,06/03/2021,72,566202,06/03/2021,2037.6,168.1,2205.7,07/03/2021
37886,05/24/2021,100300,10891211,57,1.75,06/03/2021,75,566203,06/03/2021,131.25,10.83,142.08,07/03/2021
37888,05/25/2021,100308,12476177,48,35.38,06/04/2021,48,566204,06/04/2021,1698.24,140.1,1838.34,07/04/2021
37889,05/25/2021,100242,10899801,26,140.72,06/04/2021,26,566205,06/04/2021,3658.72,301.84,3960.56,07/04/2021
37890,05/26/2021,100218,10950627,38,17.68,06/05/2021,38,566206,06/05/2021,671.84,55.43,727.27,07/05/2021
37891,05/26/2021,100296,12477278,13,97.33,06/05/2021,13,566207,06/05/2021,1265.29,104.39,1369.68,07/05/2021
37892,05/27/2021,100266,12477508,76,7.06,06/06/2021,76,566208,06/06/2021,536.56,44.27,580.83,07/06/2021
37893,05/27/2021,100277,10950688,80,5.29,06/06/2021,80,566209,06/06/2021,423.2,34.91,458.11,07/06/2021
37894,05/28/2021,100308,10950991,91,4.41,06/07/2021,91,566210,06/07/2021,401.31,33.11,434.42,07/07/2021
37895,05/28/2021,100165,12767121,13,10.6,06/07/2021,13,566211,06/07/2021,137.8,11.37,149.17,07/07/2021
37896,05/29/2021,100349,10951076,28,22.97,06/08/2021,28,566212,06/08/2021,643.16,53.06,696.22,07/08/2021
37897,05/29/2021,100173,12863679,91,6.35,06/08/2021,91,566213,06/08/2021,577.85,47.67,625.52,07/08/2021
37899,05/30/2021,100144,12863740,54,6.71,06/09/2021,54,566214,06/09/2021,362.34,29.89,392.23,07/09/2021
37898,05/30/2021,100240,10951445,31,30.05,06/09/2021,31,566215,06/09/2021,931.55,76.85,1008.4,07/09/2021
37901,05/31/2021,100128,10951449,78,9.72,06/10/2021,78,566216,06/10/2021,758.16,62.55,820.71,07/10/2021
37900,05/31/2021,100273,15766978,70,40.67,06/10/2021,70,566217,06/10/2021,2846.9,234.87,3081.77,07/10/2021
37903,06/01/2021,100246,10951450,59,17.68,06/11/2021,59,566218,06/11/2021,1043.12,86.06,1129.18,07/11/2021
37902,06/01/2021,100107,21794781,58,9.01,06/11/2021,58,566219,06/11/2021,522.58,43.11,565.69,07/11/2021
37904,06/02/2021,100306,10951491,77,8.83,06/12/2021,77,566220,06/12/2021,679.91,56.09,736,07/12/2021
37905,06/02/2021,100105,28923492,100,26.46,06/12/2021,100,566221,06/12/2021,2646,218.29,2864.3,07/12/2021
37907,06/03/2021,100185,28975110,12,14.07,06/13/2021,12,566222,06/13/2021,168.84,13.93,182.77,07/13/2021
37906,06/03/2021,100257,10951657,53,3.5,06/13/2021,53,566223,06/13/2021,185.5,15.3,200.8,07/13/2021
37908,06/04/2021,100302,10951702,48,19.43,06/14/2021,48,566224,06/14/2021,932.64,76.94,1009.58,07/14/2021
